name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
The Residences on 56th Street,"6800 Brendon Way W Dr, Indianapolis, IN",46226,$999,"$1,699",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-residences-on-56th-street-indianapolis-in/9ls8wv4/,(463) 223-2697
Everly at Meridian Hills,"832 Park Central Ct, Indianapolis, IN",46260,"$1,429","$2,129",2-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, Walk-In Closets",https://www.apartments.com/everly-at-meridian-hills-indianapolis-in/0eyqdb1/,(463) 231-3854
TGM Autumn Woods,"9075 Autumn Woods Dr, Indianapolis, IN",46250,"$1,111","$1,799",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/tgm-autumn-woods-indianapolis-in/d1hy2wl/,(463) 238-3738
9 on Canal,"335 W 9th St, Indianapolis, IN",46202,"$1,255","$3,300",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, Controlled Access",https://www.apartments.com/9-on-canal-indianapolis-in/gemsgnz/,(833) 420-1802
Lake Castleton,"7601 Carlton Arms Dr, Indianapolis, IN",46256,"$1,025","$1,775",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site",https://www.apartments.com/lake-castleton-indianapolis-in/qedv4jz/,(463) 223-1647
The Block,"50 N Illinois St, Indianapolis, IN",46204,"$1,699","$3,929",1-3 Beds,"Pets Allowed, In Unit Washer & Dryer, Stainless Steel Appliances, Package Service, Controlled Access, Granite Countertops, Elevator",https://www.apartments.com/the-block-indianapolis-in/y7ghflr/,(463) 230-8914
Lake Clearwater Apartments,"3914 Lake Clearwater Pl, Indianapolis, IN",46240,"$1,345","$2,130",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/lake-clearwater-apartments-indianapolis-in/1v38656/,(463) 223-8380
The Boardwalk at Westlake Apartments and T...,"6000 Westlake Dr, Indianapolis, IN",46224,$815,"$3,083",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Disposal",https://www.apartments.com/the-boardwalk-at-westlake-apartments-and-t-indianapolis-in/r7tm5g1/,(463) 888-6421
Brookwood Apartments,"5301 S Turtle Creek South Dr, Indianapolis, IN",46227,$810,"$1,371",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Walk-In Closets, High-Speed Internet",https://www.apartments.com/brookwood-apartments-indianapolis-in/lxtc7jg/,(463) 444-7963
Kingston Square Apartments,"7171 Twin Oaks Dr, Indianapolis, IN",46226,$879,"$1,599",Studio - 3 Beds,"Fitness Center, Pool, Dishwasher, Refrigerator, Walk-In Closets, Clubhouse",https://www.apartments.com/kingston-square-apartments-indianapolis-in/d7rmzbl/,(463) 465-5048
